sla_event_id,ticket_id,sla_policy_name,metric,sla_applied_at,target,in_business_hours,sla_breach_at,sla_elapsed_time,is_active_sla,is_sla_breach,ticket_group,ticket_brand,ticket_form,requester_organization,ticket_channel
38,154994,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 08:03:57.000000,60,FALSE,2023-07-27 09:03:57.000000,20,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Evergreen Landscapes,web
39,152699,Paper Tier 5 SLA - Support,first_reply_time,2023-07-13 20:35:18.000000,60,TRUE,2023-07-13 21:35:18.000000,10,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Phoenix Motors,web
40,155290,Paper Tier 5 SLA - Support,first_reply_time,2023-07-28 02:05:09.000000,60,TRUE,2023-07-28 03:05:09.000000,2,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,NextGen Game Studios,web
41,157601,Sabre Tickets - Support,first_reply_time,2023-08-10 16:20:02.000000,60,TRUE,2023-08-10 17:20:02.000000,1,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Golden Grains Bakeries,web
42,157406,Sabre Tickets - Support,first_reply_time,2023-08-09 22:27:17.000000,60,TRUE,2023-08-09 23:27:17.000000,13,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,NatureWalk Shoes,web
43,154945,Paper Tier 5 SLA - Support,first_reply_time,2023-07-26 22:31:47.000000,60,TRUE,2023-07-26 23:31:47.000000,15,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Palm Grove Resorts,web
44,153217,Paper Tier 5 SLA - Support,first_reply_time,2023-07-17 19:31:35.000000,60,FALSE,2023-07-17 20:31:35.000000,31,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Quasar Electronics,web
45,157593,Paper Tier 5 SLA - Support,first_reply_time,2023-08-10 15:55:43.000000,60,TRUE,2023-08-10 16:55:43.000000,9,FALSE,FALSE,Dundie Awards Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,BlueWave Marine Supplies,web
46,154564,Sabre Tickets - Support,first_reply_time,2023-07-25 14:24:28.000000,60,FALSE,2023-07-25 15:24:28.000000,1,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Evergreen Landscapes,web
47,156769,Paper Tier 5 SLA - Support,first_reply_time,2023-08-06 01:35:06.000000,60,TRUE,2023-08-06 02:35:06.000000,7,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Golden Grains Bakeries,web
48,152415,Paper Tier 4 SLA - Support,first_reply_time,2023-07-12 18:52:20.000000,60,TRUE,2023-07-12 19:52:20.000000,8,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Pulse Advertising Agency,web
49,152920,Sabre Tickets - Support,first_reply_time,2023-07-15 02:39:32.000000,60,TRUE,2023-07-15 03:39:32.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,FreshWave Juiceries,web
50,151872,Paper Tier 5 SLA - Support,first_reply_time,2023-07-10 13:55:04.000000,60,FALSE,2023-07-10 14:55:04.000000,11,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,PureSprings Water Co.,web
51,153221,Dunder Mifflin SLA - Support,first_reply_time,2023-07-17 19:42:33.000000,60,TRUE,2023-07-17 20:42:33.000000,7,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Majestic Jewelers,web
52,156584,Sabre Tickets - Support,first_reply_time,2023-08-04 10:18:30.000000,60,TRUE,2023-08-04 11:18:30.000000,31,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Quasar Electronics,web
53,150953,Sabre Tickets - Support,first_reply_time,2023-07-04 05:43:11.000000,60,TRUE,2023-07-04 06:43:11.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,PureSprings Water Co.,web
54,155204,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 22:07:18.000000,60,FALSE,2023-07-27 23:07:18.000000,30,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Quasar Electronics,web
55,153712,Paper Tier 5 SLA - Support,first_reply_time,2023-07-19 18:05:00.000000,60,FALSE,2023-07-19 19:05:00.000000,24,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,PrimePrint Publishers,web
56,152191,Paper Tier 5 SLA - Support,first_reply_time,2023-07-11 18:32:54.000000,60,TRUE,2023-07-11 19:32:54.000000,13,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,ClearView Optics,web
57,154846,Paper Tier 5 SLA - Support,first_reply_time,2023-07-26 16:15:50.000000,60,TRUE,2023-07-26 17:15:50.000000,1,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,BrightMinds Academy,web
58,155758,Dunder Mifflin SLA - Support,first_reply_time,2023-07-31 18:11:59.000000,60,FALSE,2023-07-31 19:11:59.000000,11,FALSE,FALSE,Assistant to the Regional Manager Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Harmony Healthcare,web
59,155833,Dunder Mifflin SLA - Support,first_reply_time,2023-08-01 02:48:49.000000,60,TRUE,2023-08-01 03:48:49.000000,81517,FALSE,TRUE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Noble Tech Innovations,web
60,150946,Sabre Tickets - Support,first_reply_time,2023-07-04 03:41:46.000000,60,TRUE,2023-07-04 04:41:46.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Crystal Clear Cleaners,web
61,151737,Dunder Mifflin SLA - Support,first_reply_time,2023-07-08 11:40:49.000000,60,TRUE,2023-07-08 12:40:49.000000,15,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Sunset Dining,web
62,157668,Dunder Mifflin SLA - Support,first_reply_time,2023-08-10 22:11:33.000000,60,FALSE,2023-08-10 23:11:33.000000,33,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Galactic Toys,web
63,152024,Paper Tier 5 SLA - Support,first_reply_time,2023-07-11 03:53:37.000000,60,FALSE,2023-07-11 04:53:37.000000,10,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,FreshWave Juiceries,web
64,154375,Dunder Mifflin SLA - Support,first_reply_time,2023-07-24 17:11:50.000000,60,TRUE,2023-07-24 18:11:50.000000,26,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Regal Furnishings,web
65,154498,Dunder Mifflin SLA - Support,first_reply_time,2023-07-25 06:52:41.000000,60,FALSE,2023-07-25 07:52:41.000000,43,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Nova Education Centers,web
66,153768,Dunder Mifflin SLA - Support,first_reply_time,2023-07-19 21:51:27.000000,60,TRUE,2023-07-19 22:51:27.000000,5,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Noble Tech Innovations,email
67,154462,Sabre Tickets - Support,first_reply_time,2023-07-24 22:43:48.000000,60,FALSE,2023-07-24 23:43:48.000000,9,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,PureSprings Water Co.,web
68,154322,Sabre Tickets - Support,first_reply_time,2023-07-24 14:10:52.000000,60,TRUE,2023-07-24 15:10:52.000000,3,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,DreamSpace Interiors,web
69,156206,Paper Tier 5 SLA - Support,first_reply_time,2023-08-02 14:29:32.000000,60,TRUE,2023-08-02 15:29:32.000000,10,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,NextGen Game Studios,web
70,154177,Paper Tier 5 SLA - Support,first_reply_time,2023-07-22 20:27:22.000000,60,TRUE,2023-07-22 21:27:22.000000,14,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,BlueWave Marine Supplies,web
71,153972,Sabre Tickets - Support,first_reply_time,2023-07-21 01:09:54.000000,60,TRUE,2023-07-21 02:09:54.000000,7,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,SkyHigh Constructions,web
72,154298,Sabre Tickets - Support,first_reply_time,2023-07-24 12:15:49.000000,60,FALSE,2023-07-24 13:15:49.000000,18,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Cloud 9 Airlines,web
73,155225,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 22:39:26.000000,60,TRUE,2023-07-27 23:39:26.000000,1,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Sunset Dining,web
74,155210,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 22:28:47.000000,60,FALSE,2023-07-27 23:28:47.000000,6,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Golden Grains Bakeries,web
75,154612,Paper Tier 5 SLA - Support,first_reply_time,2023-07-25 16:45:26.000000,60,FALSE,2023-07-25 17:45:26.000000,5,FALSE,FALSE,Dundie Awards Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,GlobalTech Appliances,web
76,156550,Dunder Mifflin SLA - Support,first_reply_time,2023-08-04 03:24:59.000000,60,FALSE,2023-08-04 04:24:59.000000,23,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,CityView Real Estates,web
77,157620,Dunder Mifflin SLA - Support,first_reply_time,2023-08-10 18:21:56.000000,60,FALSE,2023-08-10 19:21:56.000000,8,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Stellar Sky Airlines,web
78,152942,Sabre Tickets - Support,first_reply_time,2023-07-16 00:33:50.000000,60,FALSE,2023-07-16 01:33:50.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,ClearView Optics,web
79,152592,Paper Tier 5 SLA - Support,first_reply_time,2023-07-13 14:02:59.000000,60,FALSE,2023-07-13 15:02:59.000000,35,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Vintage Vino Wineries,web
80,155085,Paper Tier 5 SLA - Support,first_reply_time,2023-07-27 15:01:07.000000,60,FALSE,2023-07-27 16:01:07.000000,10,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Noble Tech Innovations,web
81,152932,Sabre Tickets - Support,first_reply_time,2023-07-15 15:56:32.000000,60,TRUE,2023-07-15 16:56:32.000000,3,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Majestic Jewelers,web
82,152985,Sabre Tickets - Support,first_reply_time,2023-07-16 17:56:14.000000,60,FALSE,2023-07-16 18:56:14.000000,5,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Omega Financial Solutions,web
83,156068,Sabre Tickets - Support,first_reply_time,2023-08-01 19:09:02.000000,60,FALSE,2023-08-01 20:09:02.000000,28,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Prestige Bookends,web
84,151990,Sabre Tickets - Support,first_reply_time,2023-07-10 21:18:02.000000,60,FALSE,2023-07-10 22:18:02.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,NextGen Game Studios,web
85,152158,Paper Tier 5 SLA - Support,first_reply_time,2023-07-11 16:46:49.000000,60,TRUE,2023-07-11 17:46:49.000000,23,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,FutureSoft Developers,web
86,157295,Paper Tier 5 SLA - Support,first_reply_time,2023-08-09 15:10:43.000000,60,TRUE,2023-08-09 16:10:43.000000,13,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Harmony Healthcare,web
87,153305,Dunder Mifflin SLA - Support,first_reply_time,2023-07-18 09:50:43.000000,60,TRUE,2023-07-18 10:50:43.000000,4,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Majestic Jewelers,web
88,155504,Sabre Tickets - Support,first_reply_time,2023-07-29 15:13:38.000000,60,FALSE,2023-07-29 16:13:38.000000,11,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,SkyHigh Constructions,web
89,155764,Paper Tier 5 SLA - Support,first_reply_time,2023-07-31 18:19:44.000000,60,TRUE,2023-07-31 19:19:44.000000,11,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Atlas Travels,web
90,153214,Paper Tier 5 SLA - Support,first_reply_time,2023-07-17 19:13:26.000000,60,FALSE,2023-07-17 20:13:26.000000,48,FALSE,FALSE,Party Planning Committee Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Vista Cinemas,web
91,155365,Paper Tier 5 SLA - Support,first_reply_time,2023-07-28 13:50:46.000000,60,FALSE,2023-07-28 14:50:46.000000,0,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Crestway Hotels,web
92,154542,Paper Tier 5 SLA - Support,first_reply_time,2023-07-25 11:56:26.000000,60,FALSE,2023-07-25 12:56:26.000000,20,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Prestige Bookends,web
93,157390,Paper Tier 5 SLA - Support,first_reply_time,2023-08-09 21:15:13.000000,60,FALSE,2023-08-09 22:15:13.000000,22,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Rainbow Textiles,web
94,154230,Sabre Tickets - Support,first_reply_time,2023-07-24 04:36:55.000000,60,TRUE,2023-07-24 05:36:55.000000,11,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Majestic Jewelers,web
95,153819,Sabre Tickets - Support,first_reply_time,2023-07-20 08:33:36.000000,60,FALSE,2023-07-20 09:33:36.000000,35,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Metro Daily News,web
96,155960,Paper Tier 5 SLA - Support,first_reply_time,2023-08-01 15:16:27.000000,60,FALSE,2023-08-01 16:16:27.000000,31,FALSE,FALSE,Serenity by Jan Candle Refunds,Dunder Mifflin Support,Dunder Mifflin Ticket Form,ClearView Optics,web
97,154198,Paper Tier 5 SLA - Support,first_reply_time,2023-07-23 11:40:54.000000,60,FALSE,2023-07-23 12:40:54.000000,1,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,SkyHigh Constructions,web
98,153364,Paper Tier 5 SLA - Support,first_reply_time,2023-07-18 14:39:00.000000,60,TRUE,2023-07-18 15:39:00.000000,29,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Phoenix Motors,web
99,154052,Paper Tier 5 SLA - Support,first_reply_time,2023-07-21 15:01:18.000000,60,TRUE,2023-07-21 16:01:18.000000,32,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Majestic Jewelers,web
100,152451,Paper Tier 5 SLA - Support,first_reply_time,2023-07-12 21:17:01.000000,60,TRUE,2023-07-12 22:17:01.000000,2,FALSE,FALSE,Jim's Prank Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,FutureSoft Developers,web
101,153895,Dunder Mifflin SLA - Support,first_reply_time,2023-07-20 16:23:28.000000,60,TRUE,2023-07-20 17:23:28.000000,2,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,NexaHome Furniture,web
102,156559,Sabre Tickets - Support,first_reply_time,2023-08-04 06:23:00.000000,60,TRUE,2023-08-04 07:23:00.000000,16,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,GlobalTech Appliances,web
103,157743,Dunder Mifflin SLA - Support,first_reply_time,2023-08-11 12:00:02.000000,60,FALSE,2023-08-11 13:00:02.000000,23,FALSE,FALSE,Beet Farming Group,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Metro Daily News,web
104,156770,Sabre Tickets - Support,first_reply_time,2023-08-06 02:19:26.000000,60,TRUE,2023-08-06 03:19:26.000000,47,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,PrimePrint Publishers,web
105,157213,Dunder Mifflin SLA - Support,first_reply_time,2023-08-09 00:06:41.000000,60,TRUE,2023-08-09 01:06:41.000000,22,FALSE,FALSE,Scranton Strangler Sightings,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Metro Daily News,web
106,157006,Dunder Mifflin SLA - Support,first_reply_time,2023-08-08 01:47:07.000000,60,TRUE,2023-08-08 02:47:07.000000,32,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Galactic Toys,web
107,155120,Dunder Mifflin SLA - Support,first_reply_time,2023-07-27 16:46:13.000000,60,TRUE,2023-07-27 17:46:13.000000,32,FALSE,FALSE,Scott's Totts Complaints,Dunder Mifflin Support,Sabre Ticket Form,Metro Daily News,web
108,157758,Paper Tier 5 SLA - Support,first_reply_time,2023-08-11 13:20:49.000000,60,FALSE,2023-08-11 14:20:49.000000,22,FALSE,FALSE,Assistant to the Regional Manager Support,Dunder Mifflin Support,Dunder Mifflin Ticket Form,Bella Moda Boutiques,web
